ID University,University,ID Year,Year,Completions,Slug University,CIP,ID CIP,Slug CIP,Sex,ID Sex
"209542","Oregon State University",2022,"2022",211,"oregon-state-university","Computer Science","110701","computer-science-110701","Women",2
"110635","University of California-Berkeley",2019,"2019",202,"university-of-california-berkeley","Computer Science","110701","computer-science-110701","Women",2
"145637","University of Illinois Urbana-Champaign",2021,"2021",201,"university-of-illinois-urbana-champaign","Computer Science","110701","computer-science-110701","Women",2
"110635","University of California-Berkeley",2018,"2018",192,"university-of-california-berkeley","Computer Science","110701","computer-science-110701","Women",2
"163286","University of Maryland-College Park",2022,"2022",192,"university-of-maryland-college-park","Computer Science","110701","computer-science-110701","Women",2
"145637","University of Illinois Urbana-Champaign",2020,"2020",183,"university-of-illinois-urbana-champaign","Computer Science","110701","computer-science-110701","Women",2
"123961","University of Southern California",2015,"2015",181,"university-of-southern-california","Computer Science","110701","computer-science-110701","Women",2
"209542","Oregon State University",2021,"2021",179,"oregon-state-university","Computer Science","110701","computer-science-110701","Women",2
"110635","University of California-Berkeley",2013,"2013",173,"university-of-california-berkeley","Computer Science","110701","computer-science-110701","Men",1
"209542","Oregon State University",2014,"2014",168,"oregon-state-university","Computer Science","110701","computer-science-110701","Men",1
"163286","University of Maryland-College Park",2020,"2020",162,"university-of-maryland-college-park","Computer Science","110701","computer-science-110701","Women",2
"209542","Oregon State University",2020,"2020",155,"oregon-state-university","Computer Science","110701","computer-science-110701","Women",2
"110635","University of California-Berkeley",2017,"2017",152,"university-of-california-berkeley","Computer Science","110701","computer-science-110701","Women",2
"145637","University of Illinois Urbana-Champaign",2019,"2019",143,"university-of-illinois-urbana-champaign","Computer Science","110701","computer-science-110701","Women",2
"209542","Oregon State University",2019,"2019",143,"oregon-state-university","Computer Science","110701","computer-science-110701","Women",2
"163286","University of Maryland-College Park",2019,"2019",136,"university-of-maryland-college-park","Computer Science","110701","computer-science-110701","Women",2
"123961","University of Southern California",2014,"2014",134,"university-of-southern-california","Computer Science","110701","computer-science-110701","Women",2
"110635","University of California-Berkeley",2012,"2012",129,"university-of-california-berkeley","Computer Science","110701","computer-science-110701","Men",1
"209542","Oregon State University",2013,"2013",128,"oregon-state-university","Computer Science","110701","computer-science-110701","Men",1
"110635","University of California-Berkeley",2016,"2016",127,"university-of-california-berkeley","Computer Science","110701","computer-science-110701","Women",2
"145637","University of Illinois Urbana-Champaign",2018,"2018",126,"university-of-illinois-urbana-champaign","Computer Science","110701","computer-science-110701","Women",2
"209542","Oregon State University",2017,"2017",113,"oregon-state-university","Computer Science","110701","computer-science-110701","Women",2
"123961","University of Southern California",2013,"2013",112,"university-of-southern-california","Computer Science","110701","computer-science-110701","Women",2
"209542","Oregon State University",2018,"2018",110,"oregon-state-university","Computer Science","110701","computer-science-110701","Women",2
"123961","University of Southern California",2012,"2012",82,"university-of-southern-california","Computer Science","110701","computer-science-110701","Women",2
"110635","University of California-Berkeley",2015,"2015",80,"university-of-california-berkeley","Computer Science","110701","computer-science-110701","Women",2
"145637","University of Illinois Urbana-Champaign",2016,"2016",77,"university-of-illinois-urbana-champaign","Computer Science","110701","computer-science-110701","Women",2
"145637","University of Illinois Urbana-Champaign",2017,"2017",76,"university-of-illinois-urbana-champaign","Computer Science","110701","computer-science-110701","Women",2
"209542","Oregon State University",2016,"2016",70,"oregon-state-university","Computer Science","110701","computer-science-110701","Women",2
"145637","University of Illinois Urbana-Champaign",2014,"2014",57,"university-of-illinois-urbana-champaign","Computer Science","110701","computer-science-110701","Women",2
"145637","University of Illinois Urbana-Champaign",2015,"2015",55,"university-of-illinois-urbana-champaign","Computer Science","110701","computer-science-110701","Women",2
"110635","University of California-Berkeley",2013,"2013",52,"university-of-california-berkeley","Computer Science","110701","computer-science-110701","Women",2
"110635","University of California-Berkeley",2014,"2014",51,"university-of-california-berkeley","Computer Science","110701","computer-science-110701","Women",2
"145637","University of Illinois Urbana-Champaign",2012,"2012",51,"university-of-illinois-urbana-champaign","Computer Science","110701","computer-science-110701","Women",2
"209542","Oregon State University",2015,"2015",48,"oregon-state-university","Computer Science","110701","computer-science-110701","Women",2
"145637","University of Illinois Urbana-Champaign",2013,"2013",33,"university-of-illinois-urbana-champaign","Computer Science","110701","computer-science-110701","Women",2
"110635","University of California-Berkeley",2012,"2012",30,"university-of-california-berkeley","Computer Science","110701","computer-science-110701","Women",2
"209542","Oregon State University",2014,"2014",24,"oregon-state-university","Computer Science","110701","computer-science-110701","Women",2
"209542","Oregon State University",2013,"2013",14,"oregon-state-university","Computer Science","110701","computer-science-110701","Women",2
"163286","University of Maryland-College Park",2018,"2018",0,"university-of-maryland-college-park","Computer Science","110701","computer-science-110701","Men",1
"163286","University of Maryland-College Park",2018,"2018",0,"university-of-maryland-college-park","Computer Science","110701","computer-science-110701","Women",2
