ID University,University,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
123961,University of Southern California,45602,47562,49464,51442,53448,55320,57256,59260,60446,63468
145637,University of Illinois Urbana-Champaign,29027,29637,30204,30989,31681,32339,33127,33824,34444,35122
110635,University of California-Berkeley,34098,34098,35928,37902,39516,40434,41196,41196,41196,41636
209542,Oregon State University,22068,24822,27195,27195,27735,28365,29445,29445,29456,31200
163286,University of Maryland-College Park,,,,,,33272,34936,34936,36683,37931
