ID University,University,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
123961,University of Southern California,45602,47562,49464,51442,53448,55320,57256,59260,60446,63468
145637,University of Illinois Urbana-Champaign,13294,13775,14068,14162,14255,14223,14188,14317,14446,14542
110635,University of California-Berkeley,11220,11220,11220,11220,11502,11442,11442,11442,11442,11564
209542,Oregon State University,6876,7650,8535,8715,9075,9390,9846,9846,10065,10425
163286,University of Maryland-College Park,,,,,,8651,8824,8824,9000,9695
