Year,Male Population,Female Population
2022,1279869,896612
2021,1309358,915753
2020,1349242,935093
2019,1395241,960102
2018,1400155,948791
2017,1394200,940762
2016,1379332,935820
2015,1353947,924896
2014,1323805,910414
