ID Year,Year,ID State,State,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Latitude,Longitude
2022,2022,04000US54,West Virginia,True,True,352010,Cooks,18858.881044699687,3265.832938834058,38.491226,-80.954454
2022,2022,04000US55,Wisconsin,True,True,352010,Cooks,20282.072175236382,3078.0006279969534,44.268543,-89.616508
2022,2022,04000US56,Wyoming,True,True,352010,Cooks,21054.7022397892,4937.3497512989325,42.755966,-107.30249
2022,2022,04000US72,Puerto Rico,True,True,352010,Cooks,15205.085129961715,2266.25127987784,,
2021,2021,04000US01,Alabama,True,True,352010,Cooks,16117.662756682344,2037.5135663487008,32.806671,-86.79113
2021,2021,04000US02,Alaska,True,True,352010,Cooks,24380.436475845923,6423.202653479992,61.370716,-152.404419
2021,2021,04000US04,Arizona,True,True,352010,Cooks,20084.2081955521,1741.3312521053786,33.729759,-111.431221
2021,2021,04000US05,Arkansas,True,True,352010,Cooks,16163.125827814569,1733.3955796131982,34.969704,-92.373123
2021,2021,04000US06,California,True,True,352010,Cooks,24726.824640336432,1160.5623388360257,36.116203,-119.681564
2021,2021,04000US08,Colorado,True,True,352010,Cooks,22038.63256867445,2644.4726109943035,39.059811,-105.311104
2021,2021,04000US09,Connecticut,True,True,352010,Cooks,27599.201860359597,5292.061354727317,41.597782,-72.755371
2021,2021,04000US10,Delaware,True,True,352010,Cooks,19015.264255910988,4812.928928849899,39.318523,-75.507141
2021,2021,04000US11,District of Columbia,True,True,352010,Cooks,27561.411257743064,7424.682686773104,,
2021,2021,04000US12,Florida,True,True,352010,Cooks,21127.79607886331,1258.6253713839392,27.766279,-81.686783
2021,2021,04000US13,Georgia,True,True,352010,Cooks,18300.65007901123,1425.4488490833537,33.040619,-83.643074
2021,2021,04000US15,Hawaii,True,True,352010,Cooks,30154.37747020946,4373.039181609954,21.094318,-157.498337
2021,2021,04000US16,Idaho,True,True,352010,Cooks,16769.571339563863,3855.447461187801,44.240459,-114.478828
2021,2021,04000US17,Illinois,True,True,352010,Cooks,19917.9674264514,1924.777119257575,40.349457,-88.986137
2021,2021,04000US18,Indiana,True,True,352010,Cooks,15884.75446132138,1411.138093860854,39.849426,-86.258278
2021,2021,04000US19,Iowa,True,True,352010,Cooks,17966.497780054644,3909.684104812,42.011539,-93.210526
2021,2021,04000US20,Kansas,True,True,352010,Cooks,18441.703332556517,4399.374839187391,38.5266,-96.726486
2021,2021,04000US21,Kentucky,True,True,352010,Cooks,16873.16365369243,3568.723219825042,37.66814,-84.670067
2021,2021,04000US22,Louisiana,True,True,352010,Cooks,18376.289405904165,2585.805474288732,31.169546,-91.867805
2021,2021,04000US23,Maine,True,True,352010,Cooks,20314.969767936986,4042.8083604042513,44.693947,-69.381927
2021,2021,04000US24,Maryland,True,True,352010,Cooks,22437.2738298391,2869.268908683041,39.063946,-76.802101
2021,2021,04000US25,Massachusetts,True,True,352010,Cooks,26548.451476251605,3052.9802331460664,42.230171,-71.530106
2021,2021,04000US26,Michigan,True,True,352010,Cooks,17447.515411644352,1469.8266334766158,43.326618,-84.536095
2021,2021,04000US27,Minnesota,True,True,352010,Cooks,19561.246766490895,3114.82826435844,45.694454,-93.900192
2021,2021,04000US28,Mississippi,True,True,352010,Cooks,15827.779516187267,2089.5180589937418,32.741646,-89.678696
2021,2021,04000US29,Missouri,True,True,352010,Cooks,18058.710449814705,1883.7493727645156,38.456085,-92.288368
2021,2021,04000US30,Montana,True,True,352010,Cooks,19128.567499174827,3791.83757544618,46.921925,-110.454353
