Year,fmale,pmale,ffemale,pfemale
2022,789531,490338,499059,397553
2021,813328,496030,510750,405003
2020,850195,499047,521938,413155
2019,878036,517205,538787,421315
2018,879036,521119,520646,428145
2017,868413,525787,508449,432313
2016,855688,523644,500144,435676
2015,834715,519232,489124,435772
2014,817907,505898,477667,432747
